Id,Matapelajaran,Tingkatan,Tema,Bidang,Kandungan,StandardPembelajaran,DtCreated
0,,,,,,,2023-05-01 01:36:34
1,SAINS,2,1,1,1.1,1.1.1,2023-05-01 01:32:14
2,SAINS,2,1,1,1.1,1.1.2,2023-05-01 01:34:34
3,SAINS,2,1,1,1.1,1.2.1,2023-05-01 01:34:50
4,SAINS,2,1,1,1.1,1.2.2,2023-05-01 01:35:27
5,SAINS,2,1,2,2.1,2.1.1,2023-05-01 01:36:34
6,SAINS,2,1,2,2.1,2.1.2,2023-05-01 01:36:34
7,SAINS,2,1,2,2.2,2.2.1,2023-05-01 01:36:34
8,SAINS,2,1,2,2.2,2.2.2,2023-05-01 01:36:34
9,SAINS,2,1,2,2.2,2.2.3,2023-05-01 01:36:34
10,SAINS,2,1,2,2.3,2.3.1,2023-05-01 01:36:34
11,SAINS,2,1,2,2.3,2.3.2,2023-05-01 01:36:34
12,SAINS,2,1,2,2.3,2.3.3,2023-05-01 01:36:34
13,SAINS,2,1,2,2.3,2.3.4,2023-05-01 01:36:34
14,SAINS,2,1,2,2.3,2.3.5,2023-05-01 01:36:34
15,SAINS,2,1,2,2.4,2.4.1,2023-05-01 01:36:34
16,SAINS,2,1,2,2.4,2.4.x,2023-05-01 01:36:34
17,SAINS,2,1,3,3.1,3.1.1,2023-05-01 01:36:34
18,SAINS,2,1,3,3.1,3.1.2,2023-05-01 01:36:34
19,SAINS,2,1,3,3.2,3.2.1,2023-05-01 01:36:34
20,SAINS,2,1,3,3.2,3.2.2,2023-05-01 01:36:34
21,SAINS,2,1,3,3.2,3.2.3,2023-05-01 01:36:34
22,SAINS,2,1,3,3.3,3.3.1,2023-05-01 01:36:34
23,SAINS,2,1,3,3.3,3.3.x,2023-05-01 01:36:34
24,SAINS,2,1,3,3.4,3.4.1,2023-05-01 01:36:34
25,SAINS,2,1,3,3.4,3.4.2,2023-05-01 01:36:34
26,SAINS,2,1,3,3.4,3.4.3,2023-05-01 01:36:34
27,SAINS,2,1,4,4.1,4.1.1,2023-05-01 01:36:34
28,SAINS,2,1,4,4.1,4.1.2,2023-05-01 01:36:34
29,SAINS,2,1,4,4.1,4.1.3,2023-05-01 01:36:34
30,SAINS,2,1,4,4.1,4.1.4,2023-05-01 01:36:34
31,SAINS,2,1,4,4.2,4.2.1,2023-05-01 01:36:34
32,SAINS,2,1,4,4.2,4.2.2,2023-05-01 01:36:34
33,SAINS,2,1,4,4.2,4.2.3,2023-05-01 01:36:34
34,SAINS,2,1,4,4.2,4.2.4,2023-05-01 01:36:34
35,SAINS,2,1,4,4.2,4.2.5,2023-05-01 01:36:34
36,SAINS,2,1,4,4.2,4.2.6,2023-05-01 01:36:34
37,SAINS,2,2,5,5.1,5.1.1,2023-05-01 01:36:34
38,SAINS,2,2,5,5.1,5.1.2,2023-05-01 01:36:34
39,SAINS,2,2,5,5.2,5.2.1,2023-05-01 01:36:34
40,SAINS,2,2,5,5.2,5.2.2,2023-05-01 01:36:34
41,SAINS,2,2,5,5.2,5.2.3,2023-05-01 01:36:34
42,SAINS,2,2,5,5.2,5.2.4,2023-05-01 01:36:34
43,SAINS,2,2,5,5.2,5.2.5,2023-05-01 01:36:34
44,SAINS,2,2,5,5.3,5.3.1,2023-05-01 01:36:34
45,SAINS,2,2,5,5.3,5.3.2,2023-05-01 01:36:34
46,SAINS,2,2,5,5.3,5.3.3,2023-05-01 01:36:34
47,SAINS,2,2,5,5.3,5.3.4,2023-05-01 01:36:34
48,SAINS,2,2,6,6.1,6.1.1,2023-05-01 01:36:34
49,SAINS,2,2,6,6.1,6.1.2,2023-05-01 01:36:34
50,SAINS,2,2,6,6.1,6.1.3,2023-05-01 01:36:34
51,SAINS,2,2,6,6.1,6.1.4,2023-05-01 01:36:34
52,SAINS,2,2,6,6.2,6.2.1,2023-05-01 01:36:34
53,SAINS,2,2,6,6.2,6.2.2,2023-05-01 01:36:34
54,SAINS,2,3,7,7.1,7.1.1,2023-05-01 01:36:34
55,SAINS,2,3,7,7.1,7.1.2,2023-05-01 01:36:34
56,SAINS,2,3,7,7.1,7.1.3,2023-05-01 01:36:34
57,SAINS,2,3,7,7.1,7.1.4,2023-05-01 01:36:34
58,SAINS,2,3,7,7.1,7.1.5,2023-05-01 01:36:34
59,SAINS,2,3,7,7.1,7.1.6,2023-05-01 01:36:34
60,SAINS,2,3,7,7.2,7.2.1,2023-05-01 01:36:34
61,SAINS,2,3,7,7.2,7.2.x,2023-05-01 01:36:34
62,SAINS,2,3,7,7.3,7.3.1,2023-05-01 01:36:34
63,SAINS,2,3,7,7.3,7.3.2,2023-05-01 01:36:34
64,SAINS,2,3,7,7.3,7.3.3,2023-05-01 01:36:34
65,SAINS,2,3,8,8.1,8.1.1,2023-05-01 01:36:34
66,SAINS,2,3,8,8.1,8.1.2,2023-05-01 01:36:34
67,SAINS,2,3,8,8.1,8.1.3,2023-05-01 01:36:34
68,SAINS,2,3,8,8.1,8.1.4,2023-05-01 01:36:34
69,SAINS,2,3,8,8.2,8.2.1,2023-05-01 01:36:34
70,SAINS,2,3,8,8.2,8.2.2,2023-05-01 01:36:34
71,SAINS,2,3,8,8.2,8.2.3,2023-05-01 01:36:34
72,SAINS,2,3,8,8.2,8.2.4,2023-05-01 01:36:34
73,SAINS,2,3,8,8.2,8.2.5,2023-05-01 01:36:34
74,SAINS,2,3,8,8.2,8.2.6,2023-05-01 01:36:34
75,SAINS,2,3,8,8.2,8.2.7,2023-05-01 01:36:34
76,SAINS,2,3,8,8.2,8.2.8,2023-05-01 01:36:34
