Id,Matapelajaran,Tingkatan,Tema,Bidang,Kandungan,StandardPembelajaran,DtCreated
0,,,,,,,1/5/2023 01:36
1,SAINS,2,1,1,1,1,1/5/2023 01:32
2,SAINS,2,1,1,1,2,1/5/2023 01:34
3,SAINS,2,1,1,2,1,1/5/2023 01:34
4,SAINS,2,1,1,2,2,1/5/2023 01:35
5,SAINS,2,1,2,1,1,1/5/2023 01:36
6,SAINS,2,1,2,1,2,1/5/2023 01:36
7,SAINS,2,1,2,2,1,1/5/2023 01:36
8,SAINS,2,1,2,2,2,1/5/2023 01:36
9,SAINS,2,1,2,2,3,1/5/2023 01:36
10,SAINS,2,1,2,3,1,1/5/2023 01:36
11,SAINS,2,1,2,3,2,1/5/2023 01:36
12,SAINS,2,1,2,3,3,1/5/2023 01:36
13,SAINS,2,1,2,3,4,1/5/2023 01:36
14,SAINS,2,1,2,3,5,1/5/2023 01:36
15,SAINS,2,1,2,4,1,1/5/2023 01:36
16,SAINS,2,1,2,4,x,1/5/2023 01:36
17,SAINS,2,1,3,1,1,1/5/2023 01:36
18,SAINS,2,1,3,1,2,1/5/2023 01:36
19,SAINS,2,1,3,2,1,1/5/2023 01:36
20,SAINS,2,1,3,2,2,1/5/2023 01:36
21,SAINS,2,1,3,2,3,1/5/2023 01:36
22,SAINS,2,1,3,3,1,1/5/2023 01:36
23,SAINS,2,1,3,3,x,1/5/2023 01:36
24,SAINS,2,1,3,4,1,1/5/2023 01:36
25,SAINS,2,1,3,4,2,1/5/2023 01:36
26,SAINS,2,1,3,4,3,1/5/2023 01:36
27,SAINS,2,1,4,1,1,1/5/2023 01:36
28,SAINS,2,1,4,1,2,1/5/2023 01:36
29,SAINS,2,1,4,1,3,1/5/2023 01:36
30,SAINS,2,1,4,1,4,1/5/2023 01:36
31,SAINS,2,1,4,2,1,1/5/2023 01:36
32,SAINS,2,1,4,2,2,1/5/2023 01:36
33,SAINS,2,1,4,2,3,1/5/2023 01:36
34,SAINS,2,1,4,2,4,1/5/2023 01:36
35,SAINS,2,1,4,2,5,1/5/2023 01:36
36,SAINS,2,1,4,2,6,1/5/2023 01:36
37,SAINS,2,2,5,1,1,1/5/2023 01:36
38,SAINS,2,2,5,1,2,1/5/2023 01:36
39,SAINS,2,2,5,2,1,1/5/2023 01:36
40,SAINS,2,2,5,2,2,1/5/2023 01:36
41,SAINS,2,2,5,2,3,1/5/2023 01:36
42,SAINS,2,2,5,2,4,1/5/2023 01:36
43,SAINS,2,2,5,2,5,1/5/2023 01:36
44,SAINS,2,2,5,3,1,1/5/2023 01:36
45,SAINS,2,2,5,3,2,1/5/2023 01:36
46,SAINS,2,2,5,3,3,1/5/2023 01:36
47,SAINS,2,2,5,3,4,1/5/2023 01:36
48,SAINS,2,2,6,1,1,1/5/2023 01:36
49,SAINS,2,2,6,1,2,1/5/2023 01:36
50,SAINS,2,2,6,1,3,1/5/2023 01:36
51,SAINS,2,2,6,1,4,1/5/2023 01:36
52,SAINS,2,2,6,2,1,1/5/2023 01:36
53,SAINS,2,2,6,2,2,1/5/2023 01:36
54,SAINS,2,3,7,1,1,1/5/2023 01:36
55,SAINS,2,3,7,1,2,1/5/2023 01:36
56,SAINS,2,3,7,1,3,1/5/2023 01:36
57,SAINS,2,3,7,1,4,1/5/2023 01:36
58,SAINS,2,3,7,1,5,1/5/2023 01:36
59,SAINS,2,3,7,1,6,1/5/2023 01:36
60,SAINS,2,3,7,2,1,1/5/2023 01:36
61,SAINS,2,3,7,2,x,1/5/2023 01:36
62,SAINS,2,3,7,3,1,1/5/2023 01:36
63,SAINS,2,3,7,3,2,1/5/2023 01:36
64,SAINS,2,3,7,3,3,1/5/2023 01:36
65,SAINS,2,3,8,1,1,1/5/2023 01:36
66,SAINS,2,3,8,1,2,1/5/2023 01:36
67,SAINS,2,3,8,1,3,1/5/2023 01:36
68,SAINS,2,3,8,1,4,1/5/2023 01:36
69,SAINS,2,3,8,2,1,1/5/2023 01:36
70,SAINS,2,3,8,2,2,1/5/2023 01:36
71,SAINS,2,3,8,2,3,1/5/2023 01:36
72,SAINS,2,3,8,2,4,1/5/2023 01:36
73,SAINS,2,3,8,2,5,1/5/2023 01:36
74,SAINS,2,3,8,2,6,1/5/2023 01:36
75,SAINS,2,3,8,2,7,1/5/2023 01:36
76,SAINS,2,3,8,2,8,1/5/2023 01:36
77,SAINS,2,3,9,1,1,1/5/2023 01:36
78,SAINS,2,3,9,1,x,1/5/2023 01:36
79,SAINS,2,3,9,2,1,1/5/2023 01:36
80,SAINS,2,3,9,2,2,1/5/2023 01:36
81,SAINS,2,3,9,2,3,1/5/2023 01:36
82,SAINS,2,3,9,3,1,1/5/2023 01:36
83,SAINS,2,3,9,3,2,1/5/2023 01:36
84,SAINS,2,3,9,4,1,1/5/2023 01:36
85,SAINS,2,3,9,4,2,1/5/2023 01:36
86,SAINS,2,3,9,4,3,1/5/2023 01:36
87,SAINS,2,3,10,1,1,1/5/2023 01:36
88,SAINS,2,3,10,1,x,1/5/2023 01:36
89,SAINS,2,3,10,2,1,1/5/2023 01:36
90,SAINS,2,3,10,2,2,1/5/2023 01:36
91,SAINS,2,3,10,2,3,1/5/2023 01:36
92,SAINS,2,3,10,2,4,1/5/2023 01:36
93,SAINS,2,3,10,3,1,1/5/2023 01:36
94,SAINS,2,3,10,3,2,1/5/2023 01:36
95,SAINS,2,3,10,3,3,1/5/2023 01:36
96,SAINS,2,3,10,3,4,1/5/2023 01:36
97,SAINS,2,4,11,1,1,1/5/2023 01:36
98,SAINS,2,4,11,1,2,1/5/2023 01:36
99,SAINS,2,4,12,1,1,1/5/2023 01:36
100,SAINS,2,4,12,1,2,1/5/2023 01:36
101,SAINS,2,4,12,1,3,1/5/2023 01:36
102,SAINS,2,4,12,1,4,1/5/2023 01:36
103,SAINS,2,4,12,1,5,1/5/2023 01:36
104,SAINS,2,4,13,1,1,1/5/2023 01:36
105,SAINS,2,4,13,1,2,1/5/2023 01:36
106,SAINS,2,4,13,1,3,1/5/2023 01:36
107,SAINS,1,1,1,1,,
108,SAINS,1,1,1,2,,
109,SAINS,1,1,1,3,,
110,SAINS,1,1,1,4,,
111,SAINS,1,1,1,5,,
112,SAINS,1,1,1,6,,
113,SAINS,1,1,1,7,,
114,SAINS,1,2,2,1,,
115,SAINS,1,2,2,2,,
116,SAINS,1,2,3,1,,
117,SAINS,1,2,4,1,,
118,SAINS,1,2,4,2,,
119,SAINS,1,2,4,3,,
120,SAINS,1,2,4,4,,
121,SAINS,1,2,4,5,,
122,SAINS,1,2,4,6,,
123,SAINS,1,2,4,7,,
124,SAINS,1,3,5,1,,
125,SAINS,1,3,5,2,,
126,SAINS,1,3,6,1,,
127,SAINS,1,3,6,2,,
128,SAINS,1,3,6,3,,
129,SAINS,1,3,7,1,,
130,SAINS,1,3,7,2,,
131,SAINS,1,3,7,3,,
132,SAINS,1,4,8,1,,
133,SAINS,1,4,8,2,,
134,SAINS,1,4,8,3,,
135,SAINS,1,4,8,4,,
136,SAINS,1,4,8,5,,
137,SAINS,1,4,8,6,,
138,SAINS,1,4,8,7,,
139,SAINS,1,5,9,1,,
140,SAINS,1,5,9,2,,
141,SAINS,1,5,9,3,,
142,SAINS,1,5,9,4,,
143,SAINS,1,5,9,5,,
144,SAINS,1,5,9,6,,
,SAINS,1,,,,,
,SAINS,1,,,,,
,SAINS,1,,,,,
,SAINS,1,,,,,
,SAINS,1,,,,,
,SAINS,1,,,,,
,SAINS,1,,,,,
,SAINS,1,,,,,
,SAINS,1,,,,,
,SAINS,1,,,,,
