Id,Tingkatan,Tema,Index,Desc
1,2,1,1,1.0 BIODIVERSITI
2,2,1,2,2.0 EKOSISTEM
3,2,1,3,3.0 NUTRISI
4,2,1,4,4.0 KESIHATAN MANUSIA
5,2,2,5,5.0 AIR DAN LARUTAN
6,2,2,6,6.0 ASID DAN ALKALI
7,2,3,7,7.0 KEELEKTRIKAN DAN KEMAGNETAN
8,2,3,8,8.0 DAYA DAN GERAKAN
9,2,3,9,9.0 HABA
10,2,3,10,10.0 GELOMBANG BUNYI
11,2,4,11,11.0 BINTANG DAN GALAKSI DALAM ALAM SEMESTA
12,2,4,12,12.0 SISTEM SURIA
13,2,4,13,"13.0 METEOROID, ASTEROID, KOMET"
14,1,1,1,1.0 PENGENALAN KEPADA PENYIASATAN SAINTIFIK
15,1,2,2,2.0 SEL SEBAGAI UNIT ASAS HIDUPAN
16,1,2,3,3.0 KOORDINASI DAN GERAKBALAS
17,1,2,4,4.0 PEMBIAKAN
18,1,3,5,5.0 JIRIM
19,1,3,6,6.0 JADUAL BERKALA
20,1,3,7,7.0 UDARA
21,1,4,8,8.0 CAHAYA DAN OPTIK
22,1,5,9,9.0 BUMI
